BENE_STATE_DESC,BENE_STATE_ABRVTN,BENE_COUNTY_DESC,BENE_FIPS_CD,BENE_GEO_LVL,YEAR,MONTH,TOT_BENES
Pennsylvania,PA,Adams County,42001,County,2020,Year,25059
Pennsylvania,PA,Allegheny County,42003,County,2020,Year,267287
Pennsylvania,PA,Armstrong County,42005,County,2020,Year,17427
Pennsylvania,PA,Beaver County,42007,County,2020,Year,42710
Pennsylvania,PA,Bedford County,42009,County,2020,Year,13049
Pennsylvania,PA,Berks County,42011,County,2020,Year,86294
Pennsylvania,PA,Blair County,42013,County,2020,Year,31540
Pennsylvania,PA,Bradford County,42015,County,2020,Year,15126
Pennsylvania,PA,Bucks County,42017,County,2020,Year,139676
Pennsylvania,PA,Butler County,42019,County,2020,Year,43738
Pennsylvania,PA,Cambria County,42021,County,2020,Year,36764
Pennsylvania,PA,Cameron County,42023,County,2020,Year,1472
Pennsylvania,PA,Carbon County,42025,County,2020,Year,16480
Pennsylvania,PA,Centre County,42027,County,2020,Year,25129
Pennsylvania,PA,Chester County,42029,County,2020,Year,97478
Pennsylvania,PA,Clarion County,42031,County,2020,Year,9442
Pennsylvania,PA,Clearfield County,42033,County,2020,Year,20016
Pennsylvania,PA,Clinton County,42035,County,2020,Year,8814
Pennsylvania,PA,Columbia County,42037,County,2020,Year,15040
Pennsylvania,PA,Crawford County,42039,County,2020,Year,21662
Pennsylvania,PA,Cumberland County,42041,County,2020,Year,54433
Pennsylvania,PA,Dauphin County,42043,County,2020,Year,57482
Pennsylvania,PA,Delaware County,42045,County,2020,Year,109313
Pennsylvania,PA,Elk County,42047,County,2020,Year,8247
Pennsylvania,PA,Erie County,42049,County,2020,Year,60657
Pennsylvania,PA,Fayette County,42051,County,2020,Year,34567
Pennsylvania,PA,Forest County,42053,County,2020,Year,1755
Pennsylvania,PA,Franklin County,42055,County,2020,Year,36427
Pennsylvania,PA,Fulton County,42057,County,2020,Year,3744
Pennsylvania,PA,Greene County,42059,County,2020,Year,8651
Pennsylvania,PA,Huntingdon County,42061,County,2020,Year,10805
Pennsylvania,PA,Indiana County,42063,County,2020,Year,19581
Pennsylvania,PA,Jefferson County,42065,County,2020,Year,11276
Pennsylvania,PA,Juniata County,42067,County,2020,Year,5575
Pennsylvania,PA,Lackawanna County,42069,County,2020,Year,52140
Pennsylvania,PA,Lancaster County,42071,County,2020,Year,113363
Pennsylvania,PA,Lawrence County,42073,County,2020,Year,22781
Pennsylvania,PA,Lebanon County,42075,County,2020,Year,32441
Pennsylvania,PA,Lehigh County,42077,County,2020,Year,75280
Pennsylvania,PA,Luzerne County,42079,County,2020,Year,74650
Pennsylvania,PA,Lycoming County,42081,County,2020,Year,27236
Pennsylvania,PA,Mckean County,42083,County,2020,Year,10265
Pennsylvania,PA,Mercer County,42085,County,2020,Year,29107
Pennsylvania,PA,Mifflin County,42087,County,2020,Year,11472
Pennsylvania,PA,Monroe County,42089,County,2020,Year,34789
Pennsylvania,PA,Montgomery County,42091,County,2020,Year,167446
Pennsylvania,PA,Montour County,42093,County,2020,Year,4395
Pennsylvania,PA,Northampton County,42095,County,2020,Year,69606
Pennsylvania,PA,Northumberland County,42097,County,2020,Year,23280
Pennsylvania,PA,Perry County,42099,County,2020,Year,10471
Pennsylvania,PA,Philadelphia County,42101,County,2020,Year,258806
Pennsylvania,PA,Pike County,42103,County,2020,Year,14565
Pennsylvania,PA,Potter County,42105,County,2020,Year,4695
Pennsylvania,PA,Schuylkill County,42107,County,2020,Year,35769
Pennsylvania,PA,Snyder County,42109,County,2020,Year,8666
Pennsylvania,PA,Somerset County,42111,County,2020,Year,19644
Pennsylvania,PA,Sullivan County,42113,County,2020,Year,1879
Pennsylvania,PA,Susquehanna County,42115,County,2020,Year,10383
Pennsylvania,PA,Tioga County,42117,County,2020,Year,10792
Pennsylvania,PA,Union County,42119,County,2020,Year,8478
Pennsylvania,PA,Venango County,42121,County,2020,Year,14593
Pennsylvania,PA,Warren County,42123,County,2020,Year,10669
Pennsylvania,PA,Washington County,42125,County,2020,Year,50986
Pennsylvania,PA,Wayne County,42127,County,2020,Year,14131
Pennsylvania,PA,Westmoreland County,42129,County,2020,Year,94552
Pennsylvania,PA,Wyoming County,42131,County,2020,Year,6860
Pennsylvania,PA,York County,42133,County,2020,Year,95153
Pennsylvania,PA,Unknown,42999,County,2020,Year,*
Pennsylvania,PA,Adams County,42001,County,2024,Year,27622
Pennsylvania,PA,Allegheny County,42003,County,2024,Year,278674
Pennsylvania,PA,Armstrong County,42005,County,2024,Year,18134
Pennsylvania,PA,Beaver County,42007,County,2024,Year,44519
Pennsylvania,PA,Bedford County,42009,County,2024,Year,13688
Pennsylvania,PA,Berks County,42011,County,2024,Year,91851
Pennsylvania,PA,Blair County,42013,County,2024,Year,32755
Pennsylvania,PA,Bradford County,42015,County,2024,Year,15790
Pennsylvania,PA,Bucks County,42017,County,2024,Year,152615
Pennsylvania,PA,Butler County,42019,County,2024,Year,49092
Pennsylvania,PA,Cambria County,42021,County,2024,Year,38073
Pennsylvania,PA,Cameron County,42023,County,2024,Year,1492
Pennsylvania,PA,Carbon County,42025,County,2024,Year,17695
Pennsylvania,PA,Centre County,42027,County,2024,Year,27378
Pennsylvania,PA,Chester County,42029,County,2024,Year,109107
Pennsylvania,PA,Clarion County,42031,County,2024,Year,9736
Pennsylvania,PA,Clearfield County,42033,County,2024,Year,20606
Pennsylvania,PA,Clinton County,42035,County,2024,Year,9170
Pennsylvania,PA,Columbia County,42037,County,2024,Year,16204
Pennsylvania,PA,Crawford County,42039,County,2024,Year,22658
Pennsylvania,PA,Cumberland County,42041,County,2024,Year,59984
Pennsylvania,PA,Dauphin County,42043,County,2024,Year,61572
Pennsylvania,PA,Delaware County,42045,County,2024,Year,118639
Pennsylvania,PA,Elk County,42047,County,2024,Year,8716
Pennsylvania,PA,Erie County,42049,County,2024,Year,64715
Pennsylvania,PA,Fayette County,42051,County,2024,Year,35988
Pennsylvania,PA,Forest County,42053,County,2024,Year,1879
Pennsylvania,PA,Franklin County,42055,County,2024,Year,37818
Pennsylvania,PA,Fulton County,42057,County,2024,Year,3937
Pennsylvania,PA,Greene County,42059,County,2024,Year,8892
Pennsylvania,PA,Huntingdon County,42061,County,2024,Year,11281
Pennsylvania,PA,Indiana County,42063,County,2024,Year,20770
Pennsylvania,PA,Jefferson County,42065,County,2024,Year,11928
Pennsylvania,PA,Juniata County,42067,County,2024,Year,5682
Pennsylvania,PA,Lackawanna County,42069,County,2024,Year,54548
Pennsylvania,PA,Lancaster County,42071,County,2024,Year,122635
Pennsylvania,PA,Lawrence County,42073,County,2024,Year,24036
Pennsylvania,PA,Lebanon County,42075,County,2024,Year,34609
Pennsylvania,PA,Lehigh County,42077,County,2024,Year,79529
Pennsylvania,PA,Luzerne County,42079,County,2024,Year,76701
Pennsylvania,PA,Lycoming County,42081,County,2024,Year,28922
Pennsylvania,PA,Mckean County,42083,County,2024,Year,10569
Pennsylvania,PA,Mercer County,42085,County,2024,Year,30042
Pennsylvania,PA,Mifflin County,42087,County,2024,Year,11702
Pennsylvania,PA,Monroe County,42089,County,2024,Year,37996
Pennsylvania,PA,Montgomery County,42091,County,2024,Year,184223
Pennsylvania,PA,Montour County,42093,County,2024,Year,4726
Pennsylvania,PA,Northampton County,42095,County,2024,Year,76986
